Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,Month,Unique Category,,Unique Month,Post Appeared,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,07-11-2020 09:43,photo,studying,negative,0,Nov,studying,,Jan,2126,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,17-06-2021 12:22,photo,studying,negative,10,Jun,healthy eating,,Feb,1914,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,18-04-2021 05:13,photo,studying,negative,15,Apr,technology,,Mar,2012,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,06-01-2021 19:13,photo,studying,negative,0,Jan,food,,Apr,1974,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,23-08-2020 12:25,photo,studying,positive,30,Aug,cooking,,May,2138,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,07-12-2020 06:27,photo,studying,neutral,35,Dec,dogs,,Jun,2021,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,11-04-2021 17:35,photo,studying,positive,70,Apr,soccer,,Jul,2070,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-01-2021 08:32,photo,studying,negative,5,Jan,public speaking,,Aug,2114,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,01-04-2021 22:54,photo,studying,neutral,35,Apr,science,,Sep,2022,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,love,04-08-2020 05:05,photo,studying,positive,65,Aug,tennis,,Oct,2056,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,07-11-2020 08:36,photo,studying,neutral,20,Nov,travel,,Nov,2034,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,02-11-2020 06:28,photo,studying,negative,15,Nov,fitness,,Dec,2092,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,01-11-2020 01:16,photo,studying,positive,30,Nov,education,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,07-10-2020 18:39,photo,studying,negative,5,Oct,veganism,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,03-09-2020 18:51,photo,studying,negative,15,Sep,animals,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-02-2021 05:09,photo,studying,positive,75,Feb,culture,,,,Unique Type,Type score,Total Reaction Type,total reaction most popular category
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,23-09-2020 06:24,photo,studying,neutral,35,Sep,,,,,disgust,0,1526,122
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-02-2021 11:37,photo,studying,neutral,20,Feb,,,,,dislike,15480,1548,113
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,22-05-2021 19:44,photo,studying,positive,30,May,,,,,scared,23580,1572,100
97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,31-01-2021 16:03,photo,studying,positive,45,Jan,,,,,interested,46470,1549,121
